,0,1,2
274,20.12.2018,1,483207
275,21.12.2018,1,479143
276,22.12.2018,1,483404
277,25.12.2018,1,483434
278,26.12.2018,1,484926
279,27.12.2018,1,486063
280,28.12.2018,1,485853
281,29.12.2018,1,490198
282,30.12.2018,1,489351
283,10.01.2019,1,480021
284,11.01.2019,1,480192
285,12.01.2019,1,482603
286,15.01.2019,1,483446
287,16.01.2019,1,483997
288,17.01.2019,1,481218
289,18.01.2019,1,475472
290,19.01.2019,1,476787
291,22.01.2019,1,475693
292,23.01.2019,1,474168
293,24.01.2019,1,473211
294,25.01.2019,1,468215
295,26.01.2019,1,468538
296,29.01.2019,1,473443
297,30.01.2019,1,475666
298,31.01.2019,1,475778
299,01.02.2019,1,475608
300,02.02.2019,1,475839
301,05.02.2019,1,474120
302,06.02.2019,1,475179
303,07.02.2019,1,468414
304,08.02.2019,1,468609
305,09.02.2019,1,468385
306,12.02.2019,1,465668
307,13.02.2019,1,465129
308,14.02.2019,1,467498
309,15.02.2019,1,473253
310,16.02.2019,1,472801
311,19.02.2019,1,473467
312,20.02.2019,1,471492
313,21.02.2019,1,471732
314,22.02.2019,1,466187
315,23.02.2019,1,465942
316,26.02.2019,1,467053
317,27.02.2019,1,469564
318,28.02.2019,1,471806
319,01.03.2019,1,470649
320,02.03.2019,1,466691
321,05.03.2019,1,466096
322,06.03.2019,1,465801
323,07.03.2019,1,463074
324,08.03.2019,1,464457
325,12.03.2019,1,465838
326,13.03.2019,1,465173
327,14.03.2019,1,463190
328,15.03.2019,1,462066
329,16.03.2019,1,463763
330,19.03.2019,1,460187
331,20.03.2019,1,456456
332,21.03.2019,1,455619
333,22.03.2019,1,455309
334,23.03.2019,1,453089
335,26.03.2019,1,457365
336,27.03.2019,1,457456
337,28.03.2019,1,458219
338,29.03.2019,1,459376
339,30.03.2019,1,458969
340,02.04.2019,1,466427
341,03.04.2019,1,463284
342,04.04.2019,1,463771
343,05.04.2019,1,464679
344,06.04.2019,1,465895
345,09.04.2019,1,464245
346,10.04.2019,1,463023
347,11.04.2019,1,462742
348,12.04.2019,1,460776
349,13.04.2019,1,460781
350,16.04.2019,1,460715
351,17.04.2019,1,458946
352,18.04.2019,1,460724
353,19.04.2019,1,458861
354,20.04.2019,1,457635
355,23.04.2019,1,455241
356,24.04.2019,1,453806
357,25.04.2019,1,450674
358,26.04.2019,1,452950
359,27.04.2019,1,455072
360,30.04.2019,1,456141
361,01.05.2019,1,455781
362,07.05.2019,1,456888
363,08.05.2019,1,458016
364,09.05.2019,1,457971
365,14.05.2019,1,456590
366,15.05.2019,1,453509
367,16.05.2019,1,449014
368,17.05.2019,1,447270
369,18.05.2019,1,444673
370,21.05.2019,1,447101
371,22.05.2019,1,443629
372,23.05.2019,1,443823
373,24.05.2019,1,442991
374,25.05.2019,1,445942
375,28.05.2019,1,446282
376,29.05.2019,1,446419
377,30.05.2019,1,448971
378,31.05.2019,1,451049
379,01.06.2019,1,452649
380,04.06.2019,1,455409
381,05.06.2019,1,455022
382,06.06.2019,1,455870
383,07.06.2019,1,455333
384,08.06.2019,1,453455
385,11.06.2019,1,451470
386,12.06.2019,1,448707
387,14.06.2019,1,446668
388,15.06.2019,1,444327
389,18.06.2019,1,442062
390,19.06.2019,1,439924
391,20.06.2019,1,439538
392,21.06.2019,1,438706
393,22.06.2019,1,436730
394,25.06.2019,1,437221
395,26.06.2019,1,435597
396,27.06.2019,1,438528
397,28.06.2019,1,441001
398,29.06.2019,1,442286
399,02.07.2019,1,441253
400,03.07.2019,1,441321
401,04.07.2019,1,444212
402,05.07.2019,1,445204
403,06.07.2019,1,446360
404,09.07.2019,1,446578
405,10.07.2019,1,442409
406,11.07.2019,1,441679
407,12.07.2019,1,439512
408,13.07.2019,1,441269
409,16.07.2019,1,441555
410,17.07.2019,1,441700
411,18.07.2019,1,441245
412,19.07.2019,1,441748
413,20.07.2019,1,444027
414,23.07.2019,1,443488
415,24.07.2019,1,443355
416,25.07.2019,1,440677
417,26.07.2019,1,440016
418,27.07.2019,1,437534
419,30.07.2019,1,438676
420,31.07.2019,1,437126
421,01.08.2019,1,437135
422,02.08.2019,1,437263
423,03.08.2019,1,439051
424,06.08.2019,1,439379
425,07.08.2019,1,443120
426,08.08.2019,1,437882
427,09.08.2019,1,441646
428,10.08.2019,1,444056
429,13.08.2019,1,442756
430,14.08.2019,1,443664
431,15.08.2019,1,441752
432,16.08.2019,1,446673
433,17.08.2019,1,447388
434,20.08.2019,1,450804
435,21.08.2019,1,452862
436,22.08.2019,1,449661
437,23.08.2019,1,443785
438,24.08.2019,1,443487
439,27.08.2019,1,445651
440,28.08.2019,1,447327
441,29.08.2019,1,448352
442,30.08.2019,1,449809
443,31.08.2019,1,446678
444,03.09.2019,1,448043
445,04.09.2019,1,449951
446,05.09.2019,1,450871
447,06.09.2019,1,450084
448,07.09.2019,1,450833
449,10.09.2019,1,449874
450,11.09.2019,1,448914
451,12.09.2019,1,449126
452,13.09.2019,1,448970
453,14.09.2019,1,443174
454,17.09.2019,1,439259
455,18.09.2019,1,438782
456,19.09.2019,1,440308
457,20.09.2019,1,436310
458,21.09.2019,1,434043
459,24.09.2019,1,432654
460,25.09.2019,1,431927
461,26.09.2019,1,435254
462,27.09.2019,1,434142
463,28.09.2019,1,435643
464,01.10.2019,1,436195
465,02.10.2019,1,435884
466,03.10.2019,1,437924
467,04.10.2019,1,437421
468,05.10.2019,1,439408
469,08.10.2019,1,436991
470,09.10.2019,1,437918
471,10.10.2019,1,438758
472,11.10.2019,1,437135
473,12.10.2019,1,436207
474,15.10.2019,1,435366
